"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.47319016423416,0.873,0.276,0,"0","CD3D"
0,2.05057660911005,0.845,0.258,0,"0","TRAC"
0,3.1797387388264,0.728,0.156,0,"0","LTB"
0,2.21005829449777,0.717,0.182,0,"0","CD2"
0,1.66900632120107,0.722,0.206,0,"0","CD3E"
0,2.5708599462437,0.641,0.148,0,"0","IL7R"
0,2.4602081874005,0.589,0.136,0,"0","SPOCK2"
0,1.02271857993819,0.7,0.252,0,"0","CD7"
0,1.68715994059424,0.693,0.245,0,"0","TRBC2"
0,0.937690675036648,0.801,0.413,0,"0","CD52"
0,2.15483435691032,0.526,0.14,0,"0","KLRB1"
0,1.00469497271491,0.808,0.439,0,"0","CXCR4"
0,1.92503663398694,0.552,0.183,0,"0","FYB"
0,1.99855360281718,0.54,0.172,0,"0","TRBC1"
0,3.24064552915238,0.416,0.06,0,"0","ICOS"
0,1.15045208939543,0.688,0.341,0,"0","PTPRC"
0,1.67686552411718,0.475,0.156,0,"0","LCK"
0,1.146482475878,0.566,0.249,0,"0","GPR183"
0,1.43763332501789,0.888,0.577,0,"0","ARHGDIB"
0,0.650383960276764,0.736,0.425,0,"0","LAPTM5"
0,4.4818858284074,0.397,0.09,0,"0","TNFRSF4"
0,2.27632047233819,0.46,0.158,0,"0","RORA"
0,1.04950994039299,0.705,0.404,0,"0","CORO1A"
0,1.65095578195098,0.705,0.407,0,"0","LEPROTL1"
0,1.48653906833806,0.89,0.595,0,"0","IL32"
0,1.33771225448486,0.434,0.14,0,"0","CD3G"
0,1.29314805555963,0.514,0.226,0,"0","FYN"
0,1.3097675961977,0.899,0.614,0,"0","CREM"
0,1.2987727344127,0.471,0.197,0,"0","CLEC2D"
0,0.796812631439714,0.592,0.33,0,"0","CD37"
0,0.998469974793676,0.971,0.711,0,"0","SRGN"
0,1.994596779146,0.339,0.095,0,"0","LAT"
0,3.33810053711301,0.324,0.08,0,"0","BATF"
0,1.48958882226378,0.506,0.262,0,"0","RHOH"
0,1.36674009243143,0.628,0.386,0,"0","GMFG"
0,2.04970604487524,0.314,0.075,0,"0","CD6"
0,1.13671068254706,0.588,0.351,0,"0","CD48"
0,3.72679981426821,0.263,0.033,0,"0","CCR6"
0,1.38530201311384,0.443,0.216,0,"0","ARL4C"
0,1.4287990804212,0.329,0.105,0,"0","CD247"
0,0.828775308993487,0.716,0.494,0,"0","RGS1"
0,1.13343207884782,0.452,0.231,0,"0","EVL"
0,2.11274761514887,0.389,0.172,0,"0","PBXIP1"
0,1.24859800163001,0.426,0.21,0,"0","ACAP1"
0,0.893452750726963,0.522,0.307,0,"0","CD69"
0,3.09467278842025,0.257,0.05,0,"0","TNFRSF25"
0,1.14475164183043,0.424,0.22,0,"0","ITM2A"
0,1.3767910604101,0.433,0.23,0,"0","CNOT6L"
0,1.33391791612006,0.513,0.311,0,"0","STK17B"
0,2.56024457238061,0.261,0.061,0,"0","CCR7"
0,1.03031798124967,0.825,0.625,0,"0","TSC22D3"
0,0.934500286535097,0.498,0.302,0,"0","SAMSN1"
0,1.1624453602784,0.635,0.44,0,"0","RGCC"
0,1.21710994167733,0.821,0.631,0,"0","S100A4"
0,2.40658263035006,0.34,0.151,0,"0","TNFRSF18"
0,1.32279808638571,0.548,0.361,0,"0","IL2RG"
0,1.9875792315511,0.324,0.137,0,"0","SATB1"
0,1.54971187701961,0.267,0.08,0,"0","TRAT1"
0,0.892832758706332,0.539,0.353,0,"0","CD53"
0,1.48704775007374,0.311,0.127,0,"0","STAT4"
0,1.09055374470591,0.538,0.355,0,"0","RAC2"
0,1.32459993983995,0.482,0.299,0,"0","CYTIP"
0,1.39134376566133,0.442,0.26,0,"0","NR3C1"
0,1.71524651282566,0.931,0.753,0,"0","SARAF"
0,1.77602827718405,0.261,0.086,0,"0","RNF125"
0,1.7687460684768,0.299,0.126,0,"0","PIK3IP1"
0,1.16835027608071,0.395,0.227,0,"0","LIMD2"
0,0.965506005667631,0.646,0.48,0,"0","TNFAIP3"
0,1.56399316024964,0.379,0.214,0,"0","SEPT6"
0,1.46293895580609,0.477,0.316,0,"0","EML4"
0,1.05632329561831,0.474,0.314,0,"0","GPSM3"
0,1.45032365053486,0.29,0.134,0,"0","DOK2"
0,1.59102974020367,0.55,0.396,0,"0","ANKRD12"
0,1.32030021013397,0.512,0.358,0,"0","CDC42SE2"
0,1.31721696778692,0.268,0.115,0,"0","TIGIT"
0,1.11956864159198,0.328,0.176,0,"0","GNG2"
0,1.53469873655657,0.309,0.161,0,"0","EVI2A"
0,1.21211778931666,0.517,0.378,0,"0","IDS"
0,1.2650355279161,0.712,0.579,0,"0","FXYD5"
0,1.13501807472041,0.489,0.359,0,"0","RP11-138A9.1"
0,1.19501574331895,0.52,0.393,0,"0","BIRC3"
0,1.18218356569359,0.339,0.213,0,"0","TNFRSF1B"
0,1.21381775270743,0.415,0.29,0,"0","STK17A"
0,0.992588528715001,0.73,0.605,0,"0","YPEL5"
0,1.24326322711023,0.458,0.339,0,"0","PDCD4"
0,0.941405689037518,0.578,0.468,0,"0","ISG20"
0,1.26168376819325,0.983,0.88,0,"0","BTG1"
0,1.05223414229429,0.531,0.437,0,"0","ELF1"
0,1.19981551817729,0.456,0.367,0,"0","RHOG"
0,1.04967337485299,0.579,0.491,0,"0","DDX24"
0,1.18965615380705,0.55,0.477,0,"0","FAM177A1"
0,0.762039295010667,0.717,0.651,0,"0","SRSF7"
0,0.675228865785731,0.87,0.813,0,"0","CALM1"
0,0.724727327379945,0.975,0.92,0,"0","RPSA"
0,0.777360862219546,0.826,0.772,0,"0","KLF6"
0,0.851731999197735,0.819,0.766,0,"0","GLTSCR2"
0,0.695860946039252,0.955,0.902,0,"0","RPL4"
0,0.919328930793447,0.768,0.719,0,"0","ZFP36L2"
0,0.910435799768001,0.887,0.844,0,"0","PABPC1"
0,0.619183677948143,0.971,0.929,0,"0","RPL5"
0,0.675760794558458,0.743,0.703,0,"0","NAP1L1"
0,0.849884768663201,0.736,0.697,0,"0","SOD1"
0,0.378027707160149,0.976,0.944,0,"0","RPLP0"
0,0.422146705833311,0.901,0.871,0,"0","HNRNPA1"
0,0.498878366948184,0.989,0.959,0,"0","RPL10A"
0,0.6059703459066,0.948,0.918,0,"0","RPL22"
0,0.611213552869006,0.982,0.953,0,"0","HLA-A"
0,0.62724844442706,0.754,0.726,0,"0","COMMD6"
0,0.584484759168725,0.913,0.885,0,"0","RPS10"
0,0.538069866252954,0.988,0.962,0,"0","RPL6"
0,0.388656031849228,0.978,0.954,0,"0","HLA-C"
0,0.272000789858444,0.99,0.966,0,"0","RPS7"
0,0.498310820259538,0.979,0.956,0,"0","RPL24"
0,0.262548240242002,0.977,0.954,0,"0","RPS5"
0,0.390797665914131,0.963,0.942,0,"0","GNB2L1"
0,0.513175523842903,0.984,0.963,0,"0","RPL14"
0,0.619516987110182,0.887,0.866,0,"0","RPL36AL"
0,0.71789752980666,0.995,0.974,0,"0","RPS3A"
0,0.525485847914829,0.945,0.924,0,"0","EEF1D"
0,0.571021606554644,0.977,0.957,0,"0","RPL27"
0,0.919444401398655,0.993,0.973,0,"0","RPS29"
0,0.612520729680238,0.993,0.973,0,"0","RPS8"
0,0.337259277687234,0.99,0.971,0,"0","RPL29"
0,0.370622697375296,0.995,0.976,0,"0","RPL7"
0,0.577617954268594,0.988,0.969,0,"0","RPS13"
0,0.590808678497513,0.998,0.979,0,"0","RPS4X"
0,0.466333533869908,0.873,0.855,0,"0","HLA-E"
0,0.712367848719595,0.982,0.964,0,"0","RPL31"
0,0.578462096208548,0.974,0.956,0,"0","RPL37"
0,0.671539910608638,0.994,0.976,0,"0","RPL9"
0,0.467499097318449,0.99,0.972,0,"0","RPS17"
0,0.39729563482051,0.949,0.931,0,"0","RPL23"
0,0.746567782093557,0.993,0.976,0,"0","RPL30"
0,0.835180542887096,0.994,0.977,0,"0","RPS25"
0,0.32531371352284,0.94,0.923,0,"0","NACA"
0,0.507871653186963,0.873,0.857,0,"0","DDX5"
