"Sample","Broad_cell_type","n_cells","Patient","Class","total_cells","proportion"
"SMC01-N","B cells",790,"SMC01","Normal",2435,0.324435318275154
"SMC01-N","Endothelial cells",91,"SMC01","Normal",2435,0.0373716632443532
"SMC01-N","Epithelial cells",160,"SMC01","Normal",2435,0.0657084188911704
"SMC01-N","Fibroblasts",349,"SMC01","Normal",2435,0.143326488706365
"SMC01-N","Mast cells",85,"SMC01","Normal",2435,0.0349075975359343
"SMC01-N","Myeloid cells",68,"SMC01","Normal",2435,0.0279260780287474
"SMC01-N","T/NK cells",892,"SMC01","Normal",2435,0.366324435318275
"SMC01-T","B cells",130,"SMC01","Tumor",2791,0.0465782873522035
"SMC01-T","Endothelial cells",42,"SMC01","Tumor",2791,0.0150483697599427
"SMC01-T","Epithelial cells",1093,"SMC01","Tumor",2791,0.391615908276603
"SMC01-T","Fibroblasts",112,"SMC01","Tumor",2791,0.0401289860265138
"SMC01-T","Mast cells",0,"SMC01","Tumor",2791,0
"SMC01-T","Myeloid cells",170,"SMC01","Tumor",2791,0.0609100680759584
"SMC01-T","T/NK cells",1244,"SMC01","Tumor",2791,0.445718380508778
"SMC02-N","B cells",501,"SMC02","Normal",1316,0.380699088145897
"SMC02-N","Endothelial cells",85,"SMC02","Normal",1316,0.0645896656534954
"SMC02-N","Epithelial cells",119,"SMC02","Normal",1316,0.0904255319148936
"SMC02-N","Fibroblasts",180,"SMC02","Normal",1316,0.13677811550152
"SMC02-N","Mast cells",5,"SMC02","Normal",1316,0.00379939209726444
"SMC02-N","Myeloid cells",21,"SMC02","Normal",1316,0.0159574468085106
"SMC02-N","T/NK cells",405,"SMC02","Normal",1316,0.307750759878419
"SMC02-T","B cells",91,"SMC02","Tumor",1689,0.0538780343398461
"SMC02-T","Endothelial cells",35,"SMC02","Tumor",1689,0.0207223208999408
"SMC02-T","Epithelial cells",353,"SMC02","Tumor",1689,0.208999407933689
"SMC02-T","Fibroblasts",70,"SMC02","Tumor",1689,0.0414446417998816
"SMC02-T","Mast cells",0,"SMC02","Tumor",1689,0
"SMC02-T","Myeloid cells",615,"SMC02","Tumor",1689,0.364120781527531
"SMC02-T","T/NK cells",525,"SMC02","Tumor",1689,0.310834813499112
"SMC03-N","B cells",696,"SMC03","Normal",1262,0.551505546751189
"SMC03-N","Endothelial cells",13,"SMC03","Normal",1262,0.0103011093502377
"SMC03-N","Epithelial cells",66,"SMC03","Normal",1262,0.05229793977813
"SMC03-N","Fibroblasts",12,"SMC03","Normal",1262,0.00950871632329636
"SMC03-N","Mast cells",2,"SMC03","Normal",1262,0.00158478605388273
"SMC03-N","Myeloid cells",3,"SMC03","Normal",1262,0.00237717908082409
"SMC03-N","T/NK cells",470,"SMC03","Normal",1262,0.372424722662441
"SMC03-T","B cells",299,"SMC03","Tumor",2123,0.140838436175224
"SMC03-T","Endothelial cells",32,"SMC03","Tumor",2123,0.0150730098916627
"SMC03-T","Epithelial cells",796,"SMC03","Tumor",2123,0.374941121055111
"SMC03-T","Fibroblasts",187,"SMC03","Tumor",2123,0.0880829015544041
"SMC03-T","Mast cells",0,"SMC03","Tumor",2123,0
"SMC03-T","Myeloid cells",316,"SMC03","Tumor",2123,0.14884597268017
"SMC03-T","T/NK cells",493,"SMC03","Tumor",2123,0.232218558643429
"SMC04-N","B cells",569,"SMC04","Normal",1788,0.318232662192394
"SMC04-N","Endothelial cells",74,"SMC04","Normal",1788,0.0413870246085011
"SMC04-N","Epithelial cells",171,"SMC04","Normal",1788,0.0956375838926175
"SMC04-N","Fibroblasts",365,"SMC04","Normal",1788,0.20413870246085
"SMC04-N","Mast cells",9,"SMC04","Normal",1788,0.00503355704697987
"SMC04-N","Myeloid cells",65,"SMC04","Normal",1788,0.0363534675615213
"SMC04-N","T/NK cells",535,"SMC04","Normal",1788,0.299217002237136
"SMC04-T","B cells",105,"SMC04","Tumor",1841,0.0570342205323194
"SMC04-T","Endothelial cells",82,"SMC04","Tumor",1841,0.044541010320478
"SMC04-T","Epithelial cells",307,"SMC04","Tumor",1841,0.166757197175448
"SMC04-T","Fibroblasts",68,"SMC04","Tumor",1841,0.0369364475828354
"SMC04-T","Mast cells",0,"SMC04","Tumor",1841,0
"SMC04-T","Myeloid cells",821,"SMC04","Tumor",1841,0.445953286257469
"SMC04-T","T/NK cells",458,"SMC04","Tumor",1841,0.24877783813145
"SMC05-N","B cells",262,"SMC05","Normal",1114,0.235188509874327
"SMC05-N","Endothelial cells",104,"SMC05","Normal",1114,0.0933572710951526
"SMC05-N","Epithelial cells",75,"SMC05","Normal",1114,0.0673249551166966
"SMC05-N","Fibroblasts",160,"SMC05","Normal",1114,0.143626570915619
"SMC05-N","Mast cells",7,"SMC05","Normal",1114,0.00628366247755835
"SMC05-N","Myeloid cells",21,"SMC05","Normal",1114,0.018850987432675
"SMC05-N","T/NK cells",485,"SMC05","Normal",1114,0.435368043087971
"SMC05-T","B cells",106,"SMC05","Tumor",660,0.160606060606061
"SMC05-T","Endothelial cells",3,"SMC05","Tumor",660,0.00454545454545455
"SMC05-T","Epithelial cells",13,"SMC05","Tumor",660,0.0196969696969697
"SMC05-T","Fibroblasts",13,"SMC05","Tumor",660,0.0196969696969697
"SMC05-T","Mast cells",0,"SMC05","Tumor",660,0
"SMC05-T","Myeloid cells",20,"SMC05","Tumor",660,0.0303030303030303
"SMC05-T","T/NK cells",505,"SMC05","Tumor",660,0.765151515151515
"SMC06-N","B cells",475,"SMC06","Normal",1514,0.313738441215324
"SMC06-N","Endothelial cells",26,"SMC06","Normal",1514,0.0171730515191546
"SMC06-N","Epithelial cells",23,"SMC06","Normal",1514,0.0151915455746367
"SMC06-N","Fibroblasts",61,"SMC06","Normal",1514,0.0402906208718626
"SMC06-N","Mast cells",1,"SMC06","Normal",1514,0.000660501981505945
"SMC06-N","Myeloid cells",26,"SMC06","Normal",1514,0.0171730515191546
"SMC06-N","T/NK cells",902,"SMC06","Normal",1514,0.595772787318362
