"","B cells","Epithelial cells","Mast cells","Myeloids","Stromal cells","T cells"
"0",0.1,0,0,0,0,99.9
"1",0,0,0,0,0,100
"2",0,100,0,0,0,0
"3",0,0,0,99.9,0,0.1
"4",99.6,0,0,0,0,0.4
"5",99.4,0,0,0.2,0,0.4
"6",0,0,0,0,99.9,0.1
"7",99.4,0.2,0,0,0,0.4
"8",0,0,0,0,99.8,0.2
"9",0,96.9,0,0,0,3.1
"10",0,0,0,0,100,0
"11",0.3,99.6,0,0,0,0.1
"12",0,0,0,0,100,0
"13",0,0,0,0,99.8,0.2
"14",0.9,0,0,99.1,0,0
"15",0.2,98.8,0,0.2,0,0.7
"16",5.5,0.5,0,0.3,0.3,93.4
"17",0,0,0,0,100,0
"18",0,0,0,0,99.6,0.4
"19",1,0,95.4,0,0,3.6
"20",0,0,0,100,0,0
