"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V1",2.24690613780281e-17,1.1234530689014e-15,1.07686819261983,0.550974276003528,2.51582034796177,193,"LDHA;PGK1;PSMD14;PSMD7;PSMB2;PRDX4;XPOT;SRM;PSMA7;EIF2S2;PSMA1;NAP1L1;CCT3;RAN;SSB;ACP1;CCT4;POLD2;CBX3;NME1;GLO1;PTGES3;SSBP1;EXOSC7;NCBP2;PSMD1;SNRPB2;AP3S1;CCT7;VBP1;MAD2L1;LSM2;PCNA;PSMB3;PSMD8;NPM1;RANBP1;MRPL9;DEK;CDK4;PSMC4;CSTF2;CDC45;YWHAQ;HPRT1;SNRPD3;NOP56;SNRPG;AIMP2;UBE2E1;SNRPA1;EIF2S1;NHP2;PSMA4;CCNA2;HSP90AB1;CCT5;HDDC2;HDGF;RUVBL2;VDAC1;HSPD1;PPM1G;EIF1AX;SRPK1;SNRPD1;RAD23B;PPIA;BUB3;COPS5;RPL14;TCP1;UBE2L3;EIF3B;PWP1;ERH;MYC;SF3B3;PSMC6;RSL1D1;RFC4;CCT2;PA2G4;XPO1;CLNS1A;HDAC2;CAD;CTPS1;ORC2;SET;TFDP1;RPS2;RRP9;HSPE1;CNBP;SNRPA;LSM7"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.86551604143684e-14,4.65769405641078e-13,0.97599468306432,0.640399600044819,2.63294236415372,93,"LY6E;IFITM3;CXCL11;PROCR;IFITM1;EPSTI1;IFI44;PARP14;UBE2L6;CD47;CXCL10;BST2;PARP9;NMI;RIPK2;MX1;EIF2AK2;OAS1;USP18;HERC6;IFIT2;IFI44L;HELZ2;NUB1;PSMB9;IFIT3;PSMA3;OGFR;TAP1;BATF2;LAMP3;PLSCR1;GBP4;ADAR;LAP3;ISG15;GBP2;PNPT1;IFI27;PSME2;IFIH1"
"HALLMARK_MTORC1_SIGNALING",2.79461643384647e-14,4.65769405641078e-13,0.97599468306432,0.527072040238384,2.39931377090409,189,"PHGDH;TRIB3;SLC6A6;LDHA;PGK1;PSMD14;SCD;PRDX1;PSMC2;ENO1;BHLHE40;G6PD;CYB5B;PSAT1;EIF2S2;ERO1A;PSPH;P4HA1;ELOVL5;MTHFD2;SHMT2;SLC2A1;PPA1;ME1;GAPDH;YKT6;SLC7A5;FADS1;RRM2;PSMA3;TUBG1;SLC7A11;SORD;DHCR7;EEF1E1;CCT6A;ASNS;ACLY;TPI1;SSR1;DDIT4;PSMG1;TXNRD1;AURKA;TUBA4A;CACYBP;EBP;PSMD13;PSMC4;HPRT1;TM7SF2;SRD5A1;STIP1;MLLT11;PLK1;AK4;SQLE;SLC1A4;INSIG1;HSP90B1;PSMD12;PSMA4;DDIT3;PSMB5;PNO1;ARPC5L;HSPD1;SERPINH1;RDH11;PDAP1;ALDOA;UFM1;HSPA4;PSME3;GMPS;PPIA;GPI;COPS5;GGA2;QDPR;DHCR24;CCNF;CALR;M6PR"
"HALLMARK_E2F_TARGETS",6.87883473105055e-10,8.59854341381319e-09,0.801215574617779,0.46595924444374,2.12978840372456,192,"CDC25B;CDKN2A;PRDX4;CDCA3;NAP1L1;RAN;CSE1L;MTHFD2;TUBB;CDK1;EXOSC8;POLD2;SPC25;NME1;UBE2T;CKS1B;RRM2;RNASEH2A;HMGA1;TUBG1;MYBL2;MAD2L1;POP7;PCNA;RPA3;CDKN3;AURKA;RBBP7;RANBP1;PTTG1;PRPS1;PAICS;DEK;CDK4;LYAR;AURKB;RFC3;BIRC5;NOP56;DSCC1;PLK1;TRIP13;NUDT21;EIF2S1;PSMC3IP;HMGB3;SMC1A;TBRG4;NUP107;MKI67;CCNE1;ORC6;DNMT1;UBE2S;SNRPB;SLBP;MYC;SUV39H1;PMS2;CKS2;BRCA2;MELK;PA2G4;ANP32E;XPO1;TFRC;RAD51C;AK2;CCNB2;DIAPH3;KIF2C;CTPS1;RAD51AP1;ORC2;POLA2;TACC3;PHF5A;CDCA8;STMN1;POLE4;CHEK1;SSRP1;TMPO;TIMELESS;IPO7;ASF1B;LIG1;ASF1A;GINS1;CENPE;RAD50;RAD1;DDX39A"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",6.18865231332626e-08,6.18865231332626e-07,0.704975715167238,0.517014702261549,2.18695882543131,107,"STC2;XPOT;PSAT1;ERO1A;MTHFD2;IGFBP1;SLC7A5;CKS1B;POP4;ARFGAP1;LSM4;IFIT1;ASNS;NPM1;PREB;SSR1;DDIT4;PAIP1;KDELR3;PDIA6;KIF5B;WFS1;EIF4EBP1;NOP56;NFYB;SPCS1;YIF1A;CEBPB;SRPRA;SPCS3;EXOSC4;SLC1A4;SRPRB;HSP90B1;EIF2S1;NHP2;DKC1;SDAD1;DDX10"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.46324287158997e-07,1.21936905965831e-06,0.690132458796796,0.439586123563444,1.98645914054723,167,"LY6E;IFITM3;CXCL11;OAS3;OAS2;STAT1;EPSTI1;IFI44;PARP14;RBCK1;PSMB2;UBE2L6;CXCL10;MTHFD2;BST2;NMI;RIPK2;MX1;EIF2AK2;MX2;USP18;HERC6;IFIT2;IFI44L;HELZ2;PSMB9;IFIT3;PSMA3;IFNAR2;OGFR;TAP1;BATF2;IFIT1;PLSCR1;GBP4;CASP4;XAF1;ZNFX1;RNF213;PML;ADAR;LAP3;ISG15;LYSMD2;PTGS2;PNPT1;CFB;IFI27;PSME2;IFIH1;NUP93;IL6"
"HALLMARK_GLYCOLYSIS",8.35785468433243e-05,0.00059698962030946,0.538434096309916,0.37459293771744,1.69643642776451,171,"ENO2;LDHA;PGK1;TGFBI;CHPF;RBCK1;MET;GNPDA1;STC2;ENO1;G6PD;ERO1A;P4HA1;CDK1;ALDOB;HOMER1;B3GALT6;ME1;NSDHL;PKM;POLR3K;SAP30;TALDO1;SDC3;CD44;TPI1;GPC1;PLOD1;DDIT4;AURKA;PRPS1;PAM;PDK3;KDELR3;PSMC4;SPAG4;PGAM1;HAX1;AK4;GALK1;PGM2;B3GNT3;ALDOA;SOD1;PPIA"
"HALLMARK_MYC_TARGETS_V2",0.000241938003350537,0.00151211252094086,0.518848077743792,0.482042562722643,1.83162418731709,57,"SRM;CBX3;SORD;NOC4L;NPM1;CDK4;FARSA;NOP56;LAS1L;PLK1;AIMP2;HSPD1;TCOF1;TBRG4;PPAN;RABEPK;PES1;EXOSC5;MYC;PA2G4;RCL1;BYSL;RRP9;HSPE1;TMEM97;PRMT3;NOP2;IMP4;WDR74;NDUFAF4;PLK4"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000287907430542029,0.0015994857252335,0.49849310876659,-0.349526156650656,-1.60969855895195,178,"FOSB;PTGER4;SOCS3;KLF9;JUN;BMP2;KLF4;MAFF;FOS;IL6ST;FOSL2;SIK1;CCL2;MARCKS;REL;KDM6B;ID2;ICOSLG;LITAF;BTG2;JUNB;CD69;NFIL3;TUBB2A;NR4A1;PDE4B;CCNL1;F2RL1;ETS2;DUSP1;SLC2A6;PPP1R15A;PER1;PLK2;TIPARP;EGR2;BCL3;HES1;LDLR;MXD1;EFNA1;NFKB2;ATF3;DNAJB4;NR4A3;PDLIM5;IL7R;IER2;ZBTB10;SPSB1;GCH1;CDKN1A;SGK1;BTG1;SLC2A3;ZFP36;KLF6;NFKB1;RELB;EDN1;CCL5;NR4A2;HBEGF;KLF2"
"HALLMARK_DNA_REPAIR",0.000346391318197485,0.00173195659098742,0.49849310876659,0.386674421575289,1.7032677483004,142,"ADRM1;CETN2;RAE1;POLR1D;CCNO;NME1;NELFCD;GPX4;BCAP31;POLR2C;NCBP2;NME4;RALA;ADA;MPG;POLR2K;PCNA;GUK1;POLR2F;SAC3D1;RPA3;HPRT1;NELFE;TAF12;TAF9;RFC3;FEN1;TSG101;NUDT21;MRPL40;POLR2E;GTF3C5;POLR3C;TAF10;GTF2H5;UMPS;POLR2H;POLR2I;CMPK2;RFC4;ALYREF;TMED2;POLR2G;POLA2;POLR1C;TARBP2;SNAPC5;USP11;STX3;GTF2H1;POLE4;SSRP1;SEC61A1;POLB;UPF3B;XPC;LIG1;DAD1;APRT;ERCC4;ERCC1;POLR2D;TK2;RPA2;SF3A3;RBX1;POLL;SUPT4H1;DGUOK;EIF1B;GTF2H3;POLA1;GTF2A2"
