"sample_id","Patient","Class"
"SMC01-Normal","SMC01","Normal"
"SMC01-Tumor","SMC01","Tumor"
"SMC02-Normal","SMC02","Normal"
"SMC02-Tumor","SMC02","Tumor"
"SMC03-Normal","SMC03","Normal"
"SMC03-Tumor","SMC03","Tumor"
"SMC04-Normal","SMC04","Normal"
"SMC04-Tumor","SMC04","Tumor"
"SMC06-Normal","SMC06","Normal"
"SMC06-Tumor","SMC06","Tumor"
"SMC07-Normal","SMC07","Normal"
"SMC07-Tumor","SMC07","Tumor"
"SMC09-Normal","SMC09","Normal"
"SMC09-Tumor","SMC09","Tumor"
"SMC10-Normal","SMC10","Normal"
"SMC10-Tumor","SMC10","Tumor"
