"gene","logFC","logCPM","F","PValue","FDR","significance"
"AQP8",-8.36733212144412,6.51817980274983,352.560499901935,1.30107267983692e-11,8.96437898008821e-08,"Down in tumor"
"ETV4",4.04405852149808,4.7114058496681,273.703278753365,1.43971396130863e-11,8.96437898008821e-08,"Up in tumor"
"EDIL3",-6.35610018484684,2.54205060741122,225.517547276582,3.10364976421196e-11,1.00703708307574e-07,"Down in tumor"
"TMIGD1",-7.73959985366881,1.66273086338895,221.811893125884,3.234681066653e-11,1.00703708307574e-07,"Down in tumor"
"SLC29A1",3.47795200887972,3.67440875612119,182.341254450063,1.49763489941889e-10,3.22344629877936e-07,"Up in tumor"
"GUCA2B",-10.1158210748817,10.1543938149632,245.255450158598,1.55309385631383e-10,3.22344629877936e-07,"Down in tumor"
"BMP4",5.822617356448,4.36729842386106,159.544443436169,2.12772722651972e-10,3.78522673597858e-07,"Up in tumor"
"PYY",-13.5306433200108,7.72395059774864,444.894899468928,3.04423460368844e-10,4.68920864159182e-07,"Down in tumor"
"CRNDE",5.19219052636162,4.16765206621343,151.704662499927,3.67017482026044e-10,4.68920864159182e-07,"Up in tumor"
"CLCA4",-8.6034541953032,5.42737183455561,169.246804845321,4.10335500906908e-10,4.68920864159182e-07,"Down in tumor"
"SPIB",-7.77582427591875,5.84271716356029,277.094691636495,4.14207781719345e-10,4.68920864159182e-07,"Down in tumor"
"TESC",5.62925683718674,4.86825580292939,151.862225913038,7.11823184866019e-10,6.69705733803618e-07,"Up in tumor"
"SPINK2",-5.15763875902978,2.25853892966621,206.359814421758,7.93593252820562e-10,6.69705733803618e-07,"Down in tumor"
"FXYD5",4.10222554357962,6.7075895697572,226.432555602078,7.94064798958691e-10,6.69705733803618e-07,"Up in tumor"
"PHGDH",4.44643929754213,4.88595092882086,152.844786424008,8.06679997354394e-10,6.69705733803618e-07,"Up in tumor"
"RARRES2",-4.83564515667404,6.87581734232695,234.937022816649,1.1010584129954e-09,8.56967526064485e-07,"Down in tumor"
"LY6E",4.38273320687106,7.00608932635046,222.327917949766,1.2117692097857e-09,8.87656586438905e-07,"Up in tumor"
"WDR24",2.98145010755245,3.94892231826746,147.769889510342,1.5763425952778e-09,1.09056635216636e-06,"Up in tumor"
"CWH43",-7.34288349817912,3.08480344783995,117.419967546076,1.8999242800019e-09,1.20950367310761e-06,"Down in tumor"
"GCG",-11.8007775272448,5.57871351531121,486.693293277623,1.94250971349491e-09,1.20950367310761e-06,"Down in tumor"
"S100A9",4.44104120912031,4.07651261291093,125.997296701189,3.62957662335058e-09,2.15233893764689e-06,"Up in tumor"
"PARVB",4.6295486397272,4.06448285101385,95.9090654719962,4.07250077937393e-09,2.30522055479743e-06,"Up in tumor"
"ADAMDEC1",-5.18148501142784,3.01513328425857,137.850245334777,4.51974762259597e-09,2.42515223614603e-06,"Down in tumor"
"IFITM3",2.5284537146356,9.04826563826116,185.484704470186,4.67386602967195e-09,2.42515223614603e-06,"Up in tumor"
"MMP7",10.6735520729296,6.48853208778339,400.443391964533,5.07454838430776e-09,2.52773404119138e-06,"Up in tumor"
"PITX1",4.45243116960961,4.17525394210399,111.734463067481,5.80803162126134e-09,2.7818237607526e-06,"Up in tumor"
"CHGA",-11.7306638357178,6.67263092596685,147.704913976343,6.77038240778338e-09,3.06119907652754e-06,"Down in tumor"
"SLC28A2",-6.06102299658986,3.60695386902777,128.448106408217,6.8829658831423e-09,3.06119907652754e-06,"Down in tumor"
"FCGBP",-5.81689153901472,7.55617548736282,166.138116626146,9.3601466285331e-09,4.01937606776285e-06,"Down in tumor"
